observation,reward,done,truncated,stats,actions
"[0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.16666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.5        0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.20833333 1.2093736  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.5        0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.25       5.60492018 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.5        0.         0.         0.5        0.         0.
 0.         0.         0.         0.5        0.         2.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-1.4625845044061232,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[ 0.29166667  5.74341151 10.66999166  0.          0.          0.
  0.5         0.          0.          0.          0.          0.
  0.5         0.          1.          0.5         0.          1.
  0.5         0.          0.          0.5        10.66999166  3.
  0.5         0.          0.          0.5         0.          0.
  0.5         0.          0.        ]",-25.65494912110272,False,False,{'None': None},"[0.         0.         0.         0.         0.         0.
 0.49616039 0.         0.         0.        ]"
"[ 0.33333333 23.81279764 21.74715241  0.          0.          0.
  0.5         0.          1.          0.          0.          0.
  0.5         7.14098664  2.          0.5         3.9361741   2.
  0.5         0.          1.          0.5        21.33998333  4.
  0.5         0.          1.          0.5         0.          1.
  0.5         0.          1.        ]",-256.1197228673042,False,False,{'None': None},"[0.         0.         0.         0.33378062 0.20046884 0.
 0.49616039 0.         0.         0.        ]"
"[ 0.375      24.46596412 58.71369713  0.          0.          0.
  0.5         7.17058659  2.          0.          0.          0.
  0.5        14.28197328  3.          0.5         3.9361741   3.
  0.5        10.44999184  2.          0.5        22.98514063  5.
  0.5        10.57099174  2.          0.5        10.88999149  2.
  0.5        10.84599153  2.        ]",-1218.0727846663438,False,False,{'None': None},"[0.         0.33378062 0.         0.33378062 0.         0.49616039
 0.16037507 0.49616039 0.49616039 0.49616039]"
"[ 0.41666667 30.30122932 57.06853983  0.          0.          0.
  0.5        14.34117317  3.          0.          0.          0.
  0.5        21.42295993  4.          0.5         3.9361741   4.
  0.5        20.89998367  3.          0.5        22.98514063  6.
  0.5        21.14198348  3.          0.5        21.77998299  3.
  0.5        21.69198305  3.        ]",-1062.9279425203226,False,False,{'None': None},"[0.         0.33378062 0.         0.33378062 0.         0.49616039
 0.         0.49616039 0.49616039 0.49616039]"
"[ 0.45833333 30.30122932 -0.20479182  0.5         0.          0.
  0.5        12.41878123  4.          0.          0.          0.
  0.5        13.37128281  5.          0.5        -7.00881735  5.
  0.5        28.01442809  4.          0.5        22.98514063  7.
  0.5        21.14198348  4.          0.5        24.63987877  4.
  0.5        32.43191154  4.        ]",-930.6173257218614,False,False,{'None': None},"[ 0.         -0.08820629  0.         -0.37988846 -0.49616039  0.33779
  0.          0.          0.13030475  0.49616039]"
